function,method,reward_dir,iteration,best_regret_mean,best_regret_std,cum_scaled_move_cost_mean,cum_scaled_move_cost_std
rastrigin,pure_bo,pure_bo,0,27.20305305870309,3.810381287459994,0.4138699280120653,0.28496968136497547
rastrigin,pure_bo,pure_bo,1,27.20305305870309,3.810381287459994,0.8887968578348389,0.49536390606060204
rastrigin,pure_bo,pure_bo,2,27.20305305870309,3.810381287459994,1.0790676669851256,0.5477200594445528
rastrigin,pure_bo,pure_bo,3,24.83956811548454,1.5931350919648706,1.6669105366087564,0.48557201427735036
rastrigin,pure_bo,pure_bo,4,24.83956811548454,1.5931350919648706,2.334575476699425,0.3592273099413154
rastrigin,pure_bo,pure_bo,5,24.83956811548454,1.5931350919648706,2.8207978879869917,0.5303882079785333
rastrigin,pure_bo,pure_bo,6,24.83956811548454,1.5931350919648706,3.3918084703647273,0.3221725592780316
rastrigin,pure_bo,pure_bo,7,24.83956811548454,1.5931350919648706,3.8280276673137927,0.3442689214304065
rastrigin,pure_bo,pure_bo,8,24.226437330596085,2.404287742269638,4.098413280172462,0.6467646784644949
rastrigin,pure_bo,pure_bo,9,22.477029615536065,1.8023418414032057,4.607736287140852,0.9051597514392585
rastrigin,pure_bo,pure_bo,10,22.477029615536065,1.8023418414032057,4.767322850482902,1.084044360728768
rastrigin,pure_bo,pure_bo,11,22.477029615536065,1.8023418414032057,5.2259574454516615,1.2855028908857276
rastrigin,pure_bo,pure_bo,12,22.477029615536065,1.8023418414032057,5.74560565240488,1.2605347639609565
rastrigin,pure_bo,pure_bo,13,22.477029615536065,1.8023418414032057,6.292880489574974,1.5026920649127555
rastrigin,pure_bo,pure_bo,14,22.477029615536065,1.8023418414032057,6.724591713740831,1.6717819043089703
rastrigin,pure_bo,pure_bo,15,22.477029615536065,1.8023418414032057,7.003902563602774,1.694541655324335
rastrigin,pure_bo,pure_bo,16,22.477029615536065,1.8023418414032057,7.186100895149455,1.7049732178436046
rastrigin,pure_bo,pure_bo,17,22.477029615536065,1.8023418414032057,7.248688296150792,1.7333629347325132
rastrigin,pure_bo,pure_bo,18,22.477029615536065,1.8023418414032057,7.298179056201103,1.7491574328930488
rastrigin,pure_bo,pure_bo,19,22.477029615536065,1.8023418414032057,7.373843936205215,1.7132890772635645
rastrigin,pure_bo,pure_bo,20,22.477029615536065,1.8023418414032057,7.681055831091153,1.9769847713263637
rastrigin,pure_bo,pure_bo,21,22.477029615536065,1.8023418414032057,7.922330494737579,2.140076323009761
rastrigin,pure_bo,pure_bo,22,22.477029615536065,1.8023418414032057,8.056577744571985,2.227758178770134
rastrigin,pure_bo,pure_bo,23,19.30732822475792,5.463029942767027,8.372179652074733,2.4991145441271314
rastrigin,pure_bo,pure_bo,24,19.30732822475792,5.463029942767027,8.632873375626373,2.740774121133321
rastrigin,pure_bo,pure_bo,25,19.30732822475792,5.463029942767027,8.79903322093711,2.889967719226063
rastrigin,pure_bo,pure_bo,26,19.30732822475792,5.463029942767027,9.140594365673616,2.7163399350990347
rastrigin,pure_bo,pure_bo,27,19.30732822475792,5.463029942767027,9.603748961890906,2.6144820924404257
rastrigin,pure_bo,pure_bo,28,17.42376933234365,3.9312994970397224,10.192117494736623,2.2083783157193886
rastrigin,pure_bo,pure_bo,29,17.42376933234365,3.9312994970397224,10.62725449631475,1.898215694900778
rastrigin,pure_bo,pure_bo,30,17.42376933234365,3.9312994970397224,10.859088081591771,1.878157223775898
rastrigin,pure_bo,pure_bo,31,17.42376933234365,3.9312994970397224,11.09729194641426,1.9002060960144422
rastrigin,pure_bo,pure_bo,32,17.42376933234365,3.9312994970397224,11.690628213315094,1.8871974088781598
rastrigin,pure_bo,pure_bo,33,17.42376933234365,3.9312994970397224,12.342999142546205,1.9425346969534367
rastrigin,pure_bo,pure_bo,34,17.42376933234365,3.9312994970397224,12.719592871900494,2.0680973296390395
rastrigin,pure_bo,pure_bo,35,17.42376933234365,3.9312994970397224,12.921399298678095,2.136888689203447
rastrigin,pure_bo,pure_bo,36,15.324969678152238,6.875631469592577,13.015772428508816,2.1997099714316035
rastrigin,pure_bo,pure_bo,37,15.324969678152238,6.875631469592577,13.22923801726219,2.2445256477418174
